id,origin,status,split,split_group,basic_functionalities,types,parts,composition_level,industry,staff_data_scientist,staff_architect,staff_consultant,staff_software_engineer,estimated_months_to_finish,input_tokens,output_tokens,total_tokens,gpt54_no_cache_usd,client_satisfaction,impact_recognized,roi_satisfaction,future_impact_potential,delivery_quality,pseudo_reward,pseudo_roi_pct
wave2_t056_combo4_triage_web_feedback_behavior,catalog_designed_simulation,measured_build_passed,train,347ae9e80f4266830221dd3ba1f1996c86236066c6e314320d1eb60e67d1ae3b,AI customer support + Research + Customer insights + Personalized discovery,triage + web + feedback + behavior,triage + web + feedback + behavior,BT,,0.35,0.175,0.175,0.875,1.25,137493,11773,149266,0.5203275,3,3,3,4,0,0.53,64.28571428571429
wave2_t057_single_triage,catalog_designed_simulation,measured_build_passed,test,3d07c4ffddbad0a81e087a52ba3cc79db852cd52ca3f6056b194b1d745401b11,AI customer support,triage,triage,BT,,0.2,0.1,0.1,0.5,0.5,112489,5684,118173,0.36648249999999993,2,0,0,3,4,0.3,214.28571428571428
wave2_t058_combo2_compare_feedback,catalog_designed_simulation,measured_build_passed,train,53806f2726dd520182b9284583cb103b69ee9fab486d7d09ee5125509cdac482,Smart product search + Customer insights,compare + feedback,compare + feedback,BT,,0.25,0.125,0.125,0.625,0.75,123212,7629,130841,0.422465,0,1,2,1,2,0.21,575.0
wave2_t059_combo3_journey_deep_triage,catalog_designed_simulation,measured_build_passed,train,b4531e687c2bb5ee28ec5268a4bb1cf6f20e4481b8748c156ee68a366f49d01e,Personalized discovery + Research + AI customer support,journey + deep + triage,journey + deep + triage,BT,,0.3,0.15,0.15,0.75,1.0,126102,8483,134585,0.4425,1,1,4,4,0,0.35,-76.47058823529412
wave2_t060_combo4_semantic_triage_review_normal,catalog_designed_simulation,measured_build_passed,train,967ec586f01e878a5ca9392b53d41a21d1974fdfe58f855166846b2106a2c8c1,Smart product search + AI customer support + Document automation + Research,semantic + triage + review + normal,semantic + triage + review + normal,BT,,0.35,0.175,0.175,0.875,1.25,210739,14232,224971,0.7403275,0,3,4,4,3,0.48,0.0
wave2_t061_single_web,catalog_designed_simulation,measured_build_passed,train,2a0d5e566c38f5a1eb7d71dd391184dd8a95f48d3f2b99f7f78bfbf340d6bf25,Research,web,web,BT,,0.2,0.1,0.1,0.5,0.5,111153,5386,116539,0.3586725,3,4,4,3,2,0.66,75.0
wave2_t062_combo2_faq_deep,catalog_designed_simulation,measured_build_passed,train,9846aefaee31950a52173e78fdd81faa845916204c53dff7068f5465e2d7f1a9,AI customer support + Research,faq + deep,faq + deep,BT,,0.25,0.125,0.125,0.625,0.75,118339,7519,125858,0.4086325,0,4,5,5,4,0.62,100.0
wave2_t063_combo3_faq_journey_web,catalog_designed_simulation,measured_build_passed,train,25ec81e5970e4b7f35c1460aafc3c1ea71ae2fcbd148f2604769f61dabc9164a,AI customer support + Personalized discovery + Research,faq + journey + web,faq + journey + web,BT,,0.3,0.15,0.15,0.75,1.0,149757,9916,159673,0.5231325,3,0,2,1,1,0.31,25.0
wave2_t064_combo4_faq_compare_journey_adaptive,catalog_designed_simulation,measured_build_passed,train,4e6232c5018cdb952fc7258ce804d848543d06b014cc3966a9209c8db4c598b7,AI customer support + Smart product search + Personalized discovery + Guided onboarding,faq + compare + journey + adaptive,faq + compare + journey + adaptive,BT,,0.35,0.175,0.175,0.875,1.25,132208,9732,141940,0.47650000000000003,0,0,5,1,0,0.22,40.0
wave2_t065_combo2_web_triage,catalog_designed_simulation,measured_build_passed,train,4f2f95bfdf2dac9956fd87ff7dac010ad3b6b10c6e655fd8900c208051fd3fe5,Research + AI customer support,web + triage,web + triage,BT,,0.25,0.125,0.125,0.625,0.75,117209,6539,123748,0.39110749999999994,5,4,2,0,2,0.64,-64.70588235294117
wave2_t066_combo3_web_extract_behavior,catalog_designed_simulation,measured_build_passed,train,8877b0b93b3f6b073ffb0a9f22fcebd92dc363f2f10bdb97859b35529f134ee7,Research + Document automation + Personalized discovery,web + extract + behavior,web + extract + behavior,BT,,0.3,0.15,0.15,0.75,1.0,132107,9937,142044,0.47932250000000004,1,1,5,4,3,0.48,400.0
wave2_t067_combo4_extract_deep_guided_sentiment,catalog_designed_simulation,measured_build_passed,train,447a61ca797ac322c74bc61bbcbef635a57fdadef4d40a6663552b9562f6ccab,Document automation + Research + Guided onboarding + Customer insights,extract + deep + guided + sentiment,extract + deep + guided + sentiment,BT,,0.35,0.175,0.175,0.875,1.25,140020,11015,151035,0.515275,3,4,2,0,1,0.49,633.3333333333334
wave2_t068_combo2_sentiment_behavior,catalog_designed_simulation,measured_build_passed,train,6614c00c7b3d99da469004f7c056d5cd61c42e4bdb1df081e328c33c1ee5d1f7,Customer insights + Personalized discovery,sentiment + behavior,sentiment + behavior,BT,,0.25,0.125,0.125,0.625,0.75,131688,9829,141517,0.47665500000000005,0,0,1,0,2,0.1,7.6923076923076925
wave2_t069_combo3_review_semantic_feedback,catalog_designed_simulation,measured_build_passed,train,05a44e510278687fb64aa4dd1890833503fa26a48273dbb2309abc854e34dc3b,Document automation + Smart product search + Customer insights,review + semantic + feedback,review + semantic + feedback,BT,,0.3,0.15,0.15,0.75,1.0,132870,11196,144066,0.500115,3,5,0,0,4,0.55,62.5
wave2_t070_combo4_interests_semantic_feedback_web,catalog_designed_simulation,measured_build_passed,train,33d06f0d333799d1a1447947f3084197df87f155dadc8b36029b1196b7ee8164,Personalized discovery + Smart product search + Customer insights + Research,interests + semantic + feedback + web,interests + semantic + feedback + web,BT,,0.35,0.175,0.175,0.875,1.25,156417,16122,172539,0.6328725,4,1,3,4,5,0.64,-58.333333333333336
wave2_t071_combo2_normal_semantic,catalog_designed_simulation,measured_build_passed,train,85b9a1089227f37314af444661f6c918df12d589301e212b261828330cc29109,Research + Smart product search,normal + semantic,normal + semantic,BT,,0.25,0.125,0.125,0.625,0.75,125387,8526,133913,0.4413575,4,1,1,5,2,0.49,-50.0
wave2_t072_combo3_triage_interests_compare,catalog_designed_simulation,measured_build_passed,train,1da83a1ef7420e3f17c7a4019ac8e132cd2ce6ce11233e5ed6ef6166d7a59d95,AI customer support + Personalized discovery + Smart product search,triage + interests + compare,triage + interests + compare,BT,,0.3,0.15,0.15,0.75,1.0,140231,12062,152293,0.5315075,5,0,5,0,4,0.62,20.0
wave2_t073_combo4_extract_faq_sentiment_compare,catalog_designed_simulation,measured_build_passed,train,e05c3f9f4290ef2627e600de0bb5dc747a376d02cb8839336b0594cf11a5e48e,Document automation + AI customer support + Customer insights + Smart product search,extract + faq + sentiment + compare,extract + faq + sentiment + compare,BT,,0.35,0.175,0.175,0.875,1.25,131212,11376,142588,0.49866999999999995,5,2,1,2,2,0.54,333.3333333333333
wave2_t074_combo2_review_triage,catalog_designed_simulation,measured_build_passed,train,50322a361380c929c121d3512a90a304a1aeac18cf1cb3ddd6f6909fe808aeb0,Document automation + AI customer support,review + triage,review + triage,BT,,0.25,0.125,0.125,0.625,0.75,124318,8207,132525,0.4339,3,2,4,2,4,0.6,-62.5
wave2_t075_combo3_guided_sentiment_deep,catalog_designed_simulation,measured_build_passed,train,c3f3ad1007d604f3d5d9b6e2bac796b7831ba983ffeeb05c8ae11bdde38743c0,Guided onboarding + Customer insights + Research,guided + sentiment + deep,guided + sentiment + deep,BT,,0.3,0.15,0.15,0.75,1.0,132971,9828,142799,0.4798475,3,0,0,3,5,0.39,77.77777777777777
wave2_t076_combo4_behavior_review_guided_web,catalog_designed_simulation,measured_build_passed,validation,c5ea6be5f6febcc30b1cacad6aef785e7f98bf80643dbd81a0ac20ddb35274e7,Personalized discovery + Document automation + Guided onboarding + Research,behavior + review + guided + web,behavior + review + guided + web,BT,,0.35,0.175,0.175,0.875,1.25,202616,17696,220312,0.7719799999999999,1,3,4,0,2,0.43,-50.0
wave2_t077_combo2_guided_interests,catalog_designed_simulation,measured_build_passed,train,8627511c477ae3629610b1dd7bf39d2fe9b18372fa8dccd05b4ce8d1776acfa6,Guided onboarding + Personalized discovery,guided + interests,guided + interests,BT,,0.25,0.125,0.125,0.625,0.75,118801,6982,125783,0.4017325,0,0,5,2,1,0.27,-15.384615384615385
wave2_t078_combo3_triage_normal_adaptive,catalog_designed_simulation,measured_build_passed,train,64fd4a8ac7af2ca4ca4bba43291ac9a625ec2f0dd01e6d6595af74c887cc4874,AI customer support + Research + Guided onboarding,triage + normal + adaptive,triage + normal + adaptive,BT,,0.3,0.15,0.15,0.75,1.0,144120,13120,157240,0.5571,4,2,1,1,0,0.4,212.5
wave2_t079_combo4_normal_triage_adaptive_extract,catalog_designed_simulation,measured_build_passed,validation,c2f82b759c1b3e6e22f41f2779ee7c54aa2ee574fc7874bea458cbf5fcc9de19,Research + AI customer support + Guided onboarding + Document automation,normal + triage + adaptive + extract,normal + triage + adaptive + extract,BT,,0.35,0.175,0.175,0.875,1.25,145268,13229,158497,0.561605,1,5,1,1,4,0.49,-43.75
wave2_t080_combo2_adaptive_feedback,catalog_designed_simulation,measured_build_passed,validation,5c8c52533763a0961a2e0e5441e3f5d852d0c58a27eb292868ac7ae97b8fee29,Guided onboarding + Customer insights,adaptive + feedback,adaptive + feedback,BT,,0.25,0.125,0.125,0.625,0.75,124368,7976,132344,0.43056,5,1,1,1,0,0.41,460.0
wave2_t081_combo3_feedback_interests_semantic,catalog_designed_simulation,measured_build_passed,train,1b5409df46c15402ab635c9244d90b237cc5ff072a8085e728c4c5cafd0c238d,Customer insights + Personalized discovery + Smart product search,feedback + interests + semantic,feedback + interests + semantic,BT,,0.3,0.15,0.15,0.75,1.0,130879,10426,141305,0.4835875,5,2,5,0,3,0.69,11.11111111111111
wave2_t082_combo4_interests_faq_feedback_deep,catalog_designed_simulation,measured_build_passed,validation,b37cc2af610b315fa8482b882adf194f64f7803d684008c949aaae572a5b8a6f,Personalized discovery + AI customer support + Customer insights + Research,interests + faq + feedback + deep,interests + faq + feedback + deep,BT,,0.35,0.175,0.175,0.875,1.25,200138,20033,220171,0.8008400000000001,4,4,2,5,0,0.62,233.33333333333334
wave2_t083_combo2_adaptive_web,catalog_designed_simulation,measured_build_passed,validation,d7a8a31f77edd471e2cb908498691a235e375809182f1d54cee5ee12b22775ec,Guided onboarding + Research,adaptive + web,adaptive + web,BT,,0.25,0.125,0.125,0.625,0.75,122997,8202,131199,0.4305225,0,3,5,3,5,0.56,300.0
wave2_t084_combo3_sentiment_faq_normal,catalog_designed_simulation,measured_build_passed,train,bd69774ce32cd66fdfabadfa079a9e669391ee067a5d84ac5fbfd0a6586024e9,Customer insights + AI customer support + Research,sentiment + faq + normal,sentiment + faq + normal,BT,,0.3,0.15,0.15,0.75,1.0,206464,9270,215734,0.6552099999999998,0,0,2,4,3,0.25,700.0
wave2_t085_combo4_journey_adaptive_triage_sentiment,catalog_designed_simulation,measured_build_passed,validation,2a213e41d10661901d324389f2844411027ec049eb4c509680fdec4d056e391e,Personalized discovery + Guided onboarding + AI customer support + Customer insights,journey + adaptive + triage + sentiment,journey + adaptive + triage + sentiment,BT,,0.35,0.175,0.175,0.875,1.25,189956,16624,206580,0.72425,0,5,5,5,2,0.61,-75.0
wave2_t086_combo2_faq_behavior,catalog_designed_simulation,measured_build_passed,validation,615c4f13a534b450fe811bfaf7768c14bed8d6711d0d7e6262ccee637d068c5c,AI customer support + Personalized discovery,faq + behavior,faq + behavior,BT,,0.25,0.125,0.125,0.625,0.75,125579,8563,134142,0.44239249999999997,3,0,4,5,4,0.56,-6.666666666666667
wave2_t087_combo3_extract_compare_guided,catalog_designed_simulation,measured_build_passed,train,4c8f21c16db14959d2dddf0b0e75f8476d5b354fe33d97f301263cf215b2adf4,Document automation + Smart product search + Guided onboarding,extract + compare + guided,extract + compare + guided,BT,,0.3,0.15,0.15,0.75,1.0,124032,8170,132202,0.43263,2,3,5,2,0,0.51,66.66666666666667
wave2_t088_combo4_web_interests_review_semantic,catalog_designed_simulation,measured_build_passed,validation,bba1826db911ee9d793e10c8307bf7786c9b58bc38cb8b5e6f8852511335b274,Research + Personalized discovery + Document automation + Smart product search,web + interests + review + semantic,web + interests + review + semantic,BT,,0.35,0.175,0.175,0.875,1.25,143987,12189,156176,0.5428025000000001,0,4,4,1,2,0.44,33.333333333333336
wave2_t089_combo2_journey_guided,catalog_designed_simulation,measured_build_passed,validation,941b90a3deeac466bbb0fa8b1e0671ba040d547f0a8e0aee1c6428fb77f26044,Personalized discovery + Guided onboarding,journey + guided,journey + guided,BT,,0.25,0.125,0.125,0.625,0.75,118921,7223,126144,0.40564750000000005,1,1,0,2,5,0.3,83.33333333333333
wave2_t090_combo3_journey_adaptive_review,catalog_designed_simulation,measured_build_passed,validation,786b5c3527c7a265829e498014368ed24aebb1263a3e513659b362a3ee40f572,Personalized discovery + Guided onboarding + Document automation,journey + adaptive + review,journey + adaptive + review,BT,,0.3,0.15,0.15,0.75,1.0,133894,11096,144990,0.501175,2,2,5,4,1,0.53,183.33333333333334
wave2_t091_combo4_guided_normal_sentiment_behavior,catalog_designed_simulation,measured_build_passed,validation,ce8a6ad94b927acca7c96eeb9775014b03c26bba69b12e78b9478fc54f938bb2,Guided onboarding + Research + Customer insights + Personalized discovery,guided + normal + sentiment + behavior,guided + normal + sentiment + behavior,BT,,0.35,0.175,0.175,0.875,1.25,190023,11191,201214,0.6429225,3,5,5,3,1,0.72,11.764705882352942
wave2_t092_combo2_extract_normal,catalog_designed_simulation,measured_build_passed,validation,4d8cf09197a18fea9c382d6f610ee5933e36a2537dcd5430d01a75d4a858fcaa,Document automation + Research,extract + normal,extract + normal,BT,,0.25,0.125,0.125,0.625,0.75,128829,9139,137968,0.45915749999999994,2,2,0,2,0,0.26,-77.77777777777777
wave2_t093_combo3_review_behavior_deep,catalog_designed_simulation,measured_build_passed,validation,1d5cfa6fa3e2f92babbf72d9ce9030162489008e083c7a1098268fbea6fe1360,Document automation + Personalized discovery + Research,review + behavior + deep,review + behavior + deep,BT,,0.3,0.15,0.15,0.75,1.0,136812,10644,147456,0.50169,1,3,1,5,1,0.38,-37.5
wave2_t094_combo4_deep_review_behavior_compare,catalog_designed_simulation,measured_build_passed,test,7a8b200b1cc246ff8b19272c8fdad9ae0eb6070bae39ca78d70edff291533007,Research + Document automation + Personalized discovery + Smart product search,deep + review + behavior + compare,deep + review + behavior + compare,BT,,0.35,0.175,0.175,0.875,1.25,137427,12200,149627,0.5265675,0,4,3,4,2,0.46,46.666666666666664
wave2_t095_combo2_compare_review,catalog_designed_simulation,measured_build_passed,test,a0382d49f7a9827c40edeced28510bec45772a8c6791e86deae3eb985ede64e6,Smart product search + Document automation,compare + review,compare + review,BT,,0.25,0.125,0.125,0.625,0.75,125855,8220,134075,0.43793750000000004,5,1,0,1,2,0.43,-83.33333333333333
wave2_t096_combo3_interests_feedback_web,catalog_designed_simulation,measured_build_passed,validation,4ada3f1b8c3209b60897ac3e4d2f853f0a93f5d82f0ca783d0296f229e166314,Personalized discovery + Customer insights + Research,interests + feedback + web,interests + feedback + web,BT,,0.3,0.15,0.15,0.75,1.0,128097,9023,137120,0.45558750000000003,4,5,0,1,5,0.66,20.0
wave2_t097_combo4_journey_triage_guided_compare,catalog_designed_simulation,measured_build_passed,test,9a06e91500c0487cd56418aa9555c9f128b2e47f2ba56e13de19bcccd01be410,Personalized discovery + AI customer support + Guided onboarding + Smart product search,journey + triage + guided + compare,journey + triage + guided + compare,BT,,0.35,0.175,0.175,0.875,1.25,105731,11456,117187,0.43616750000000004,5,1,1,5,0,0.49,100.0
wave2_t098_combo2_sentiment_deep,catalog_designed_simulation,measured_build_passed,test,74f666cc773b21918c876c172712f659141aa591503f64e91b2e85960e17db4c,Customer insights + Research,sentiment + deep,sentiment + deep,BT,,0.25,0.125,0.125,0.625,0.75,127385,8713,136098,0.4491575,3,5,2,3,4,0.69,-80.0
wave2_t099_combo3_journey_triage_guided,catalog_designed_simulation,measured_build_passed,validation,bc0766691dc869942e24bd0eb08dfcc4cf456cafa69cfe75b091d8061abe36f9,Personalized discovery + AI customer support + Guided onboarding,journey + triage + guided,journey + triage + guided,BT,,0.3,0.15,0.15,0.75,1.0,147874,10665,158539,0.52966,0,4,5,5,1,0.53,-37.5
wave2_t100_combo4_journey_normal_feedback_faq,catalog_designed_simulation,measured_build_passed,test,dd284ff87ee855a71ca4a21dd9c800d0598d0588833e71aa4c99296501cb99f9,Personalized discovery + Research + Customer insights + AI customer support,journey + normal + feedback + faq,journey + normal + feedback + faq,BT,,0.35,0.175,0.175,0.875,1.25,178890,15806,194696,0.6843149999999999,2,3,4,2,3,0.5599999999999999,50.0
wave2_t101_combo2_semantic_review,catalog_designed_simulation,measured_build_passed,test,fcc726a4415a8826046a78c5ef1cdfaa9ac7b866ca7b097a0e8d27f7bec8f233,Smart product search + Document automation,semantic + review,semantic + review,BT,,0.25,0.125,0.125,0.625,0.75,119032,6977,126009,0.402235,4,5,2,1,5,0.74,53.333333333333336
wave2_t102_combo3_faq_adaptive_compare,catalog_designed_simulation,measured_build_passed,validation,f27fc62d82d0b518c5cae56bef521dec402b1c6fad9de881f474c2ab3f8e2277,AI customer support + Guided onboarding + Smart product search,faq + adaptive + compare,faq + adaptive + compare,BT,,0.3,0.15,0.15,0.75,1.0,209543,15455,224998,0.7556824999999999,0,3,0,1,1,0.19999999999999998,185.71428571428572
wave2_t103_combo4_adaptive_semantic_extract_deep,catalog_designed_simulation,measured_build_passed,test,cc3d1890bb6a0d236a961d3f0a1526527ed2f0fba6328ef25b8bb81c3b6c0e89,Guided onboarding + Smart product search + Document automation + Research,adaptive + semantic + extract + deep,adaptive + semantic + extract + deep,BT,,0.35,0.175,0.175,0.875,1.25,141816,12008,153824,0.53466,4,1,1,2,5,0.52,425.0
wave2_t104_combo2_extract_faq,catalog_designed_simulation,measured_build_passed,test,bae4dea2b2f078fcb0980a5c421243c5616c45770e7e2dc78fc17360dda21cac,Document automation + AI customer support,extract + faq,extract + faq,BT,,0.25,0.125,0.125,0.625,0.75,121779,7882,129661,0.4226775,1,0,1,3,5,0.31,366.6666666666667
wave2_t105_combo3_behavior_extract_normal,catalog_designed_simulation,measured_build_passed,validation,17015dc30f7e375ab1133cc9c58f797fbd5e5160934b620d442efabddac12f64,Personalized discovery + Document automation + Research,behavior + extract + normal,behavior + extract + normal,BT,,0.3,0.15,0.15,0.75,1.0,141473,12295,153768,0.5381075,1,5,2,2,1,0.46,28.571428571428573
wave2_t106_combo4_interests_faq_semantic_web,catalog_designed_simulation,measured_build_passed,test,d786d72c05ec0e1d6aa17d719765271e0a11ccb0697b85a991d56f1204655a61,Personalized discovery + AI customer support + Smart product search + Research,interests + faq + semantic + web,interests + faq + semantic + web,BT,,0.35,0.175,0.175,0.875,1.25,146636,13817,160453,0.5738449999999999,1,5,3,5,2,0.5900000000000001,-16.666666666666668
wave2_t107_combo2_sentiment_journey,catalog_designed_simulation,measured_build_passed,test,7128fcb263f60e23ca67e0dd0f7caa71faf1ba52e8504764b0417dbdc6ed1869,Customer insights + Personalized discovery,sentiment + journey,sentiment + journey,BT,,0.25,0.125,0.125,0.625,0.75,120041,7399,127440,0.4110875,2,5,2,4,2,0.59,228.57142857142858
wave2_t108_combo3_semantic_journey_sentiment,catalog_designed_simulation,measured_build_passed,test,02a0ed91facf68bd952370fd1a266423e4875ac0f33c60264dcc4e21091930f2,Smart product search + Personalized discovery + Customer insights,semantic + journey + sentiment,semantic + journey + sentiment,BT,,0.3,0.15,0.15,0.75,1.0,129560,10452,140012,0.48068,2,3,4,1,4,0.57,100.0
wave2_t109_combo4_review_web_feedback_journey,catalog_designed_simulation,measured_build_passed,test,c014d0db982128a4931a02214bbd032cb29417d8d8ab57f1374a56ffe5f7b73d,Document automation + Research + Customer insights + Personalized discovery,review + web + feedback + journey,review + web + feedback + journey,BT,,0.35,0.175,0.175,0.875,1.25,133903,10387,144290,0.4905625,5,5,2,4,3,0.8,0.0
wave2_t110_combo3_extract_web_compare,catalog_designed_simulation,measured_build_passed,test,7dc2d9c04cf884080ba81c0422ca31622e3a813c409c169d4a27f2ccd3631a8f,Document automation + Research + Smart product search,extract + web + compare,extract + web + compare,BT,,0.3,0.15,0.15,0.75,1.0,141567,11561,153128,0.5273325,0,1,1,5,0,0.19,76.47058823529412
wave2_t111_combo3_feedback_semantic_deep,catalog_designed_simulation,measured_build_passed,test,cd91374598fb0b65daac3008106063c79722e423d6dccd17a37c0375f5a15581,Customer insights + Smart product search + Research,feedback + semantic + deep,feedback + semantic + deep,BT,,0.3,0.15,0.15,0.75,1.0,135572,12953,148525,0.533225,4,3,3,0,0,0.51,183.33333333333334
wave2_t112_combo3_faq_guided_review,catalog_designed_simulation,measured_build_passed,test,ca4e5cf762972bed3da862b77e5a72725a3be4147bd53d87d59821b5cc44dc61,AI customer support + Guided onboarding + Document automation,faq + guided + review,faq + guided + review,BT,,0.3,0.15,0.15,0.75,1.0,132308,10121,142429,0.48258499999999993,3,5,4,0,0,0.59,366.6666666666667
wave2_t113_combo3_sentiment_deep_interests,catalog_designed_simulation,measured_build_passed,test,f6d8e0b6ee415f9f9680d0c025b0e3f5309210ab13d94f8fc1100ab0698a1322,Customer insights + Research + Personalized discovery,sentiment + deep + interests,sentiment + deep + interests,BT,,0.3,0.15,0.15,0.75,1.0,142487,12195,154682,0.5391424999999999,3,4,5,2,0,0.62,38.888888888888886
wave2_t114_combo3_triage_semantic_behavior,catalog_designed_simulation,measured_build_passed,test,e0582d24969efb2a74351d09745beb0a9e840cd97512fcbfb1b0fd8093ee3d56,AI customer support + Smart product search + Personalized discovery,triage + semantic + behavior,triage + semantic + behavior,BT,,0.3,0.15,0.15,0.75,1.0,130440,9738,140178,0.47217,3,3,4,3,2,0.61,-53.84615384615385
wave2_t115_combo2_normal_journey,catalog_designed_simulation,measured_build_passed,train,2cc16dec29358202ad97c3068420abf7db02609673476bc3162fb429e3423f7d,Research + Personalized discovery,normal + journey,normal + journey,BT,,0.25,0.125,0.125,0.625,0.75,121830,7676,129506,0.419715,3,5,4,3,5,0.8,120.0
wave2_t116_combo2_faq_behavior,catalog_designed_simulation,measured_build_passed,validation,615c4f13a534b450fe811bfaf7768c14bed8d6711d0d7e6262ccee637d068c5c,AI customer support + Personalized discovery,faq + behavior,faq + behavior,BT,,0.25,0.125,0.125,0.625,0.75,118167,6932,125099,0.39939749999999996,4,4,1,4,2,0.62,-14.285714285714286
wave2_t117_combo3_journey_deep_triage,catalog_designed_simulation,measured_build_passed,train,b4531e687c2bb5ee28ec5268a4bb1cf6f20e4481b8748c156ee68a366f49d01e,Personalized discovery + Research + AI customer support,journey + deep + triage,journey + deep + triage,BT,,0.3,0.15,0.15,0.75,1.0,147981,13581,161562,0.5736675000000001,4,1,0,2,3,0.42,0.0
wave2_t118_combo3_behavior_extract_normal,catalog_designed_simulation,measured_build_passed,validation,17015dc30f7e375ab1133cc9c58f797fbd5e5160934b620d442efabddac12f64,Personalized discovery + Document automation + Research,behavior + extract + normal,behavior + extract + normal,BT,,0.3,0.15,0.15,0.75,1.0,128419,9191,137610,0.4589125,3,3,2,5,2,0.57,-38.46153846153846
wave2_t119_combo4_feedback_faq_guided_normal,catalog_designed_simulation,measured_build_passed,train,403ec0a406925313c4f7f9f1a8340b74ae66e7ca9e6a9849b5249cf9976bc4f0,Customer insights + AI customer support + Guided onboarding + Research,feedback + faq + guided + normal,feedback + faq + guided + normal,BT,,0.35,0.175,0.175,0.875,1.25,192877,11012,203889,0.6473725,3,4,2,5,4,0.68,-56.25
wave2_t120_combo4_journey_adaptive_triage_sentiment,catalog_designed_simulation,measured_build_passed,validation,2a213e41d10661901d324389f2844411027ec049eb4c509680fdec4d056e391e,Personalized discovery + Guided onboarding + AI customer support + Customer insights,journey + adaptive + triage + sentiment,journey + adaptive + triage + sentiment,BT,,0.35,0.175,0.175,0.875,1.25,155797,9969,165766,0.5390275,1,1,0,1,2,0.19,-23.529411764705884
wave3_t001_single_basic-documents,catalog_designed_simulation,measured_build_passed,train,a5b938876ac4c61d06812275680ec3e1f724bb97ea5886fcf2236b43f52169a8,Document automation,,basic:documents,B,,0.2,0.1,0.1,0.5,0.5,115859,6494,122353,0.3870575,2,4,4,2,2,0.58,22.22222222222222
wave3_t002_single_adaptive,catalog_designed_simulation,measured_build_passed,train,ffcc3ef5fe0b307894c624c8a5a0006350af75478bd69390708c41404dcfd5fc,Guided onboarding,adaptive,adaptive,BT,,0.2,0.1,0.1,0.5,0.5,116278,6205,122483,0.38377,2,2,1,4,1,0.37,-41.1764705882353
wave3_t003_single_faq__ind-energy,catalog_designed_simulation,measured_build_passed,train,0373cd6a6a38a14a1e878c8cb69765ab894794d3db080c964b9fb264a7c29e1d,AI customer support,faq,faq,BTI,energy,0.2,0.1,0.1,0.5,0.5,121467,7401,128868,0.4146825,1,0,5,4,2,0.4,120.0
wave3_t004_combo2_basic-onboard_basic-support,catalog_designed_simulation,measured_build_passed,train,253783407998e4bdd1f689ee3d0084ad5a19f82c3e2d57ced128a184fff65fb3,Guided onboarding + AI customer support,,basic:onboard + basic:support,B,,0.25,0.125,0.125,0.625,0.75,117751,6709,124460,0.3950125,1,1,1,3,0,0.21000000000000002,700.0
wave3_t005_combo2_basic-support_basic-search__ind-public_sector,catalog_designed_simulation,measured_build_passed,train,593f5899961f44c1ae8d33f1144c49ae128f6348e777146ce6db999455397947,AI customer support + Smart product search,,basic:support + basic:search,BI,public_sector,0.25,0.125,0.125,0.625,0.75,126383,8666,135049,0.4459475,3,1,3,3,3,0.5,-76.47058823529412
wave3_t006_combo2_basic-onboard_faq,catalog_designed_simulation,measured_build_passed,train,a759f84fe8cfe3cf7a3700aa0fa1a2106f06993c357e6ae0b73dac21636e6f22,Guided onboarding + AI customer support,faq,basic:onboard + faq,BT,,0.25,0.125,0.125,0.625,0.75,114907,5928,120835,0.37618749999999995,4,4,1,0,2,0.54,-45.45454545454545
wave3_t007_combo2_semantic_basic-onboard__ind-manufacturing,catalog_designed_simulation,measured_build_passed,test,00bb9fad85b0fc3b3f505aa7db13845becf422f046374914e7053f078d06987a,Smart product search + Guided onboarding,semantic,semantic + basic:onboard,BTI,manufacturing,0.25,0.125,0.125,0.625,0.75,167913,11963,179876,0.5992275,2,5,1,0,1,0.44,-82.3529411764706
wave3_t008_combo2_semantic_guided__ind-finance,catalog_designed_simulation,measured_build_passed,train,ace89e30277b4d7d1a7c194c40fe5901f43b2b40b474c970bce810c8fa60e864,Smart product search + Guided onboarding,semantic + guided,semantic + guided,BTI,finance,0.25,0.125,0.125,0.625,0.75,142236,13297,155533,0.555045,1,2,4,5,0,0.42000000000000004,133.33333333333334
wave3_t009_single_basic-insights,catalog_designed_simulation,measured_build_passed,train,79903612248ff962e77e564d2349df78fc0e1711b7aa0b810c49f7f1133d2124,Customer insights,,basic:insights,B,,0.2,0.1,0.1,0.5,0.5,120823,6914,127737,0.40576749999999995,3,0,2,2,0,0.3,175.0
wave3_t010_single_behavior,catalog_designed_simulation,measured_build_passed,test,c0e904c3593c04756b65a134701eaa0774373dcdb60755313c29160ee626d347,Personalized discovery,behavior,behavior,BT,,0.2,0.1,0.1,0.5,0.5,114593,6167,120760,0.37898750000000003,3,4,5,0,1,0.61,0.0
wave3_t011_single_sentiment__ind-insurance,catalog_designed_simulation,measured_build_passed,train,d1b4dab5342a5137123e13f76ac84a2534d2113ed6908fc3be303a8042268fcb,Customer insights,sentiment,sentiment,BTI,insurance,0.2,0.1,0.1,0.5,0.5,198141,9165,207306,0.6328275,0,2,1,2,0,0.18,340.0
